"requestedManager","canonicalManager","fundName","vehicleType","lifecycle","northAmericaBasis","currentHoldingName","vintage","strategies","structure","fundStatus","size","sizeBasis","repoDisposition","matchedLegacyIds","changedFields","confidence"
"BlackRock","BlackRock","Evergreen Infrastructure Fund","NAMED_FUND","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","Evergreen","Core-Plus","Open-End","Evergreen","Approximately $1.0B commitments","COMMITMENTS","PROPOSED_CORRECTION","FUND-033A","investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sectors | sourceUrls","HIGH"
"BlackRock","BlackRock","AI Infrastructure Partnership","PROGRAM_EXCEPTION","RAISING","VERIFIED_CURRENT_NA_HOLDING","Aligned Data Centers","2024","Growth | Greenfield","Permanent Capital","Raising","$30.0B equity target","TARGET","PROPOSED_NEW","","","MEDIUM"
"Blackstone","Blackstone","Blackstone Infrastructure Partners (BIP)","NAMED_FUND","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","QTS","Evergreen","Core-Plus","Permanent Capital","Evergreen","$77.0B","","PROPOSED_CORRECTION","FUND-039","regions","HIGH"
"Blackstone","Blackstone","Blackstone Infrastructure Strategies ELTIF (BXINFRA)","NAMED_FUND","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","QTS","Evergreen","Core-Plus","Open-End","Evergreen","$4.1B","","PROPOSED_CORRECTION","FUND-040","fundName | strategies | regions","HIGH"
"Blackstone","Blackstone","Blackstone Energy Transition Partners IV (BETP IV)","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2025","Opportunistic","Closed-End","Financial Close","$5.6B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-041","size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Brookfield Asset Management","Brookfield","Brookfield Artificial Intelligence Infrastructure Fund (BAIIF)","NAMED_FUND","RAISING","VERIFIED_CURRENT_NA_HOLDING","Bloom Energy AI-infrastructure partnership in the United States","2025","Value-Add","Closed-End","Raising","$10.0B target; $5.0B of initial commitments disclosed","TARGET","NEEDS_REVIEW","FUND-044","size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | regions","MEDIUM"
"Brookfield Asset Management","Brookfield","Brookfield Global Transition Fund I (BGTF I)","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Circular Services","2022","Core-Plus","Closed-End","Financial Close","$15.0B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-044A","investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | regions | sourceUrls","HIGH"
"Brookfield Asset Management","Brookfield","Brookfield Global Transition Fund II (BGTF II)","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Infinium","2023","Core-Plus","Closed-End","Financial Close","$20.0B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-045","investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | regions | sourceUrls","HIGH"
"Brookfield Asset Management","Brookfield","Brookfield Infrastructure Fund V","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Compass Datacenters","2022","Core-Plus","Closed-End","Financial Close","$28.0B final close; $30.0B including $2.0B of related co-investment capital","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-046","fundName | investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | regions | sourceUrls","HIGH"
"Brookfield Asset Management","Brookfield","Brookfield Infrastructure Income Fund","NAMED_FUND","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","Evergreen","Core | Credit / Debt | Retail Act '40","Open-End","Evergreen","$5.1B displayed amount; amount basis and as-of date unresolved","","NEEDS_REVIEW","FUND-047","fundName | investmentStrategy | size | sizeUsdMm | strategies | regions","MEDIUM"
"Brookfield Asset Management","Brookfield","Brookfield Infrastructure Structured Solutions Fund","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2024","Value-Add","Closed-End","Financial Close","$1.0B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-048","fundName | investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | regions","HIGH"
"Brookfield Asset Management","Brookfield","Brookfield Infrastructure Fund IV","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Genesee & Wyoming","2020","Core-Plus","Closed-End","Financial Close","$20.0B final close","FINAL_CLOSE","PROPOSED_NEW","","","HIGH"
"Carlyle Infrastructure","Carlyle Group","Carlyle Global Infrastructure Opportunity Fund","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2019","Value-Add","Closed-End","Financial Close","$2.2B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-051","investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Carlyle Infrastructure","Carlyle Group","Carlyle CGI Fund II","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2026","Value-Add","Closed-End","Raising","TBD","","NEEDS_REVIEW","FUND-052","","MEDIUM"
"Carlyle Infrastructure","Carlyle Group","Carlyle Renewable & Sustainable Energy Fund","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2019","Value-Add","Closed-End","Financial Close","—","","NEEDS_REVIEW","FUND-053A","","MEDIUM"
"Carlyle Infrastructure","Carlyle Group","Carlyle Renewable & Sustainable Energy Fund II","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2022","Value-Add","Closed-End","Financial Close","$2.0B amount sold","AMOUNT_SOLD","PROPOSED_CORRECTION","FUND-053","fundName | investmentStrategy | size | sizeBasis | sizeAsOf","MEDIUM"
"CBRE Investment Management","CBRE Investment Management","CBRE Global Infrastructure Fund","NAMED_FUND","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","WANRack, LLC","Evergreen","Core | Core-Plus","Open-End","Evergreen","$5.102B current gross asset value (reported 2026-03-31)","AUM","PROPOSED_CORRECTION","FUND-054","fundName | investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | strategies | structure | sectors | regions | sourceUrls | strategyUrl","HIGH"
"CDPQ","La Caisse de dépôt (CDPQ)","Infrastructure Specialized Portfolio","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Vertical Bridge","2010","Core","Permanent Capital","Evergreen","C$74.506B net assets under management","AUM","PROPOSED_CORRECTION","FUND-110","fundName | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | vintage | regions","MEDIUM"
"CIM Group","CIM Group","CIM Infrastructure Fund III, L.P.","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2021","Value-Add","Closed-End","Financial Close","NEEDS_REVIEW — SEC Form D reports $1,757,609,274 amount sold; filing date not preserved in opened evidence","","NEEDS_REVIEW","FUND-055","","MEDIUM"
"Copenhagen Infrastructure Partners","Copenhagen Infrastructure Partners","Copenhagen Infrastructure II (CI II)","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2014","Core-Plus | Greenfield","Closed-End","Financial Close","€2.0B","","PROPOSED_NEW","","","HIGH"
"Copenhagen Infrastructure Partners","Copenhagen Infrastructure Partners","Copenhagen Infrastructure III (CI III)","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2017","Core-Plus | Greenfield","Closed-End","Financial Close","€3.5B final close","","PROPOSED_NEW","","","HIGH"
"Copenhagen Infrastructure Partners","Copenhagen Infrastructure Partners","Copenhagen Infrastructure IV (CI IV)","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2020","Core-Plus","Closed-End","Financial Close","€7.0B","","PROPOSED_CORRECTION","FUND-056A","regions","HIGH"
"Copenhagen Infrastructure Partners","Copenhagen Infrastructure Partners","Copenhagen Infrastructure V (CI V)","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2023","Core-Plus","Closed-End","Financial Close","€12.0B","","PROPOSED_CORRECTION","FUND-056","regions","HIGH"
"Copenhagen Infrastructure Partners","Copenhagen Infrastructure Partners","Copenhagen Infrastructure Energy Transition Fund I (CI ETF I)","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2021","Value-Add | Greenfield","Closed-End","Financial Close","€3.0B final close","","PROPOSED_NEW","","","HIGH"
"Copenhagen Infrastructure Partners","Copenhagen Infrastructure Partners","Copenhagen Infrastructure Advanced Bioenergy Fund I (CI ABF I)","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2022","Value-Add | Greenfield","Closed-End","Financial Close","€750M final close","","PROPOSED_NEW","","","HIGH"
"Copenhagen Infrastructure Partners","Copenhagen Infrastructure Partners","Copenhagen Infrastructure Advanced Bioenergy Fund II (CI ABF II)","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2025","Value-Add | Greenfield","Closed-End","Raising","€1.5B target","","PROPOSED_NEW","","","HIGH"
"CPP Investments","CPP Investments","CPP Investments Infrastructure","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","407 International Inc. (407 ETR)","Evergreen","Core-Plus","Permanent Capital","Evergreen","—","","PROPOSED_CORRECTION","FUND-058","investmentStrategy | sectors | regions","MEDIUM"
"CPP Investments","CPP Investments","CPP Investments Sustainable Energies","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Pattern Energy Group LP","Evergreen","Core-Plus","Permanent Capital","Evergreen","—","","PROPOSED_NEW","","","MEDIUM"
"CVC","CVC DIF","DIF CIF II","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","Joink, LLC","2021","Value-Add","Closed-End","Financial Close","€1.0B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-059A","size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls","HIGH"
"CVC","CVC DIF","DIF CIF III","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","Tonaquint Data Centers","2022","Value-Add","Closed-End","Financial Close","€1.6B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-059","size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls","HIGH"
"CVC","CVC DIF","DIF Infrastructure IV","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2015","Core-Plus","Closed-End","Financial Close","€1.15B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-059B","size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls","HIGH"
"CVC","CVC DIF","DIF Infrastructure V","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2018","Core-Plus","Closed-End","Financial Close","€1.9B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-059C","size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls","HIGH"
"CVC","CVC DIF","DIF Infrastructure VI","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","Kingfisher Wind","2020","Core-Plus","Closed-End","Financial Close","€3.0B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-059D","size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls","HIGH"
"CVC","CVC DIF","DIF Infrastructure VII","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","ASTP","2022","Core-Plus","Closed-End","Financial Close","€4.4B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-060","size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls","HIGH"
"CVC","CVC DIF","DIF Infrastructure VIII","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","SBA Canada","2025","Core-Plus","Closed-End","Raising","€6.0B target","TARGET","PROPOSED_CORRECTION","FUND-061","size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls","HIGH"
"CVC","CVC DIF","CVC DIF Value-Add IV","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2025","Value-Add","Closed-End","Raising","€2.0B target","TARGET","PROPOSED_CORRECTION","FUND-062","size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls","HIGH"
"DigitalBridge","DigitalBridge","DigitalBridge Partners III, LP","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Vantage Data Centers","2023","Value-Add","Closed-End","Financial Close","$7.2B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-063","fundName | investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | vintage | regions | sourceUrls","HIGH"
"DigitalBridge","DigitalBridge","DigitalBridge Partners II, LP","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Switch","2019","Value-Add","Closed-End","Financial Close","$8.2B final close","FINAL_CLOSE","PROPOSED_NEW","","","HIGH"
"DigitalBridge","DigitalBridge","DigitalBridge Partners, LP","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Zayo","2017","Value-Add","Closed-End","Financial Close","$4.05B final close","FINAL_CLOSE","PROPOSED_NEW","","","MEDIUM"
"DigitalBridge","DigitalBridge","DigitalBridge Strategic Assets Fund, LP","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","DataBank","2022","Core-Plus","Closed-End","Raising","Not publicly disclosed","","PROPOSED_NEW","","","MEDIUM"
"DWS Infrastructure","DWS","DWS Pan-European Infrastructure Fund III","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2021","Value-Add","Closed-End","Financial Close","€3.1B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-065","fundName | investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"EIG Global Energy Partners","EIG","EIG Geothermal Catalyst Partners","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2026","Greenfield","Closed-End","Raising","Not disclosed (initial close announced April 2026)","","PROPOSED_NEW","","","HIGH"
"Ember Infrastructure","Ember Infrastructure Management","Ember Infrastructure Fund I","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","ReGenerate","2022","Opportunistic","Closed-End","Financial Close","Over $340M final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-069A","investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Ember Infrastructure","Ember Infrastructure Management","Ember Infrastructure Fund II","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2024","Opportunistic","Closed-End","Raising","$830.7M amount sold (Form D)","AMOUNT_SOLD","PROPOSED_CORRECTION","FUND-070","investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | vintage | fundStatus","HIGH"
"Energy Capital Partners","Energy Capital Partners","Energy Capital Partners V, L.P.","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Harvestone Low Carbon Partners","2022","Value-Add","Closed-End","Financial Close","$4.4B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-066","fundName | investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | strategies","HIGH"
"EQT Infrastructure","EQT","EQT Infrastructure VI","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2023","Value-Add","Closed-End","Financial Close","€21.5B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-073","fundName | investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"EQT Infrastructure","EQT","EQT Active Core Infrastructure I","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2023","Core-Plus","Closed-End","Financial Close","$3.2B commitments","COMMITMENTS","PROPOSED_CORRECTION","FUND-071","fundName | investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | vintage | strategies | structure | fundStatus","HIGH"
"EQT Infrastructure","EQT","EQT AI Infrastructure Strategy","NAMED_FUND","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","EdgeConneX","2026","Growth","Open-End","Evergreen","$9.4B AUM","AUM","PROPOSED_CORRECTION","FUND-072","investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | strategies | regions","HIGH"
"EQT Infrastructure","EQT","EQT Transition Infrastructure","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2024","Opportunistic","Closed-End","Raising","[TBD]","","EXISTING_VERIFIED","FUND-074","","HIGH"
"Fengate Asset Management","Fengate Asset Management","Fengate Infrastructure Fund IV","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2021","Core-Plus","Closed-End","Financial Close","$1.1B","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-076","investmentStrategy | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Fengate Asset Management","Fengate Asset Management","Fengate Infrastructure Fund V","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2025","Core-Plus","Closed-End","Raising","First close completed; amount not disclosed in opened primary evidence","","PROPOSED_NEW","","","MEDIUM"
"Generate Capital","Generate Capital","Generate Capital (permanent capital platform)","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","Evergreen","Value-Add","Permanent Capital","Evergreen","$10.0B","","PROPOSED_CORRECTION","FUND-081","investmentStrategy","MEDIUM"
"GIC","GIC","Infrastructure","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Duke Energy Indiana","Evergreen","Core-Plus","Permanent Capital","Evergreen","—","","PROPOSED_CORRECTION","FUND-082","fundName | investmentStrategy | sectors | regions","MEDIUM"
"Global Infrastructure Partners","BlackRock (GIP)","GIP V","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","ALLETE","2022","Core-Plus","Closed-End","Financial Close","$25.2B","","PROPOSED_CORRECTION","FUND-036","investmentStrategy | regions","HIGH"
"Global Infrastructure Partners","BlackRock (GIP)","Global AI Infrastructure Investment Partnership","PROGRAM_EXCEPTION","RAISING","EXPLICIT_NA_MANDATE","","2024","Core-Plus","Closed-End","Raising","[$30.0B]","","PROPOSED_CORRECTION","FUND-038","investmentStrategy | regions","MEDIUM"
"Goldman Sachs Asset Management","Goldman Sachs Alternatives","West Street Infrastructure Partners IV","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2021","Value-Add","Closed-End","Financial Close","$4.0B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-087","fundName | investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sectors","HIGH"
"Goldman Sachs Asset Management","Goldman Sachs Alternatives","West Street Infrastructure Partners V","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2024","Value-Add","Closed-End","Raising","$4.0B target","TARGET","PROPOSED_CORRECTION","FUND-088","fundName | investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sectors","HIGH"
"Harbert Management Corp","Harbert Management Corporation","Harbert Power Fund V, LLC","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Panoche Valley Solar","Not disclosed","Core-Plus","Closed-End","Financial Close","Not disclosed","","PROPOSED_NEW","","","HIGH"
"Harbert Management Corp","Harbert Management Corporation","Harbert Infrastructure Fund VI, LP","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2020","Core-Plus","Closed-End","Financial Close","$0.9B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-090","fundName | investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Harbert Management Corp","Harbert Management Corporation","Gulf Pacific Power, LLC","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Desert Sunlight Solar","Not disclosed","Core-Plus","Closed-End","Financial Close","$2.113B AUM","AUM","PROPOSED_NEW","","","MEDIUM"
"Harrison Street","Harrison Street","Harrison Street Infrastructure Fund, L.P.","NAMED_FUND","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","Evergreen","Core-Plus","Evergreen","Evergreen","$2.6071B amount sold","AMOUNT_SOLD","PROPOSED_CORRECTION","FUND-092","fundName | investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls | strategyUrl","HIGH"
"H.I.G. Capital","H.I.G. Capital","H.I.G. Infrastructure Partners","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2021","Value-Add","Closed-End","Financial Close","$1.3B aggregate capital commitments (including separately managed accounts)","COMMITMENTS","PROPOSED_CORRECTION","FUND-089","fundName | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sectors","HIGH"
"I Squared Capital","I Squared Capital","ISQ Energy Transition Infrastructure Fund","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","Oregon Renewable Fuels Terminal","2023","Value-Add","Closed-End","Raising","$881.6M amount sold","AMOUNT_SOLD","PROPOSED_CORRECTION","FUND-093","investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | fundStatus","HIGH"
"I Squared Capital","I Squared Capital","ISQ Global Infrastructure Fund IV","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2024","Value-Add","Closed-End","Raising","$10.0B first close","FIRST_CLOSE","PROPOSED_CORRECTION","FUND-094","investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"iCON Infrastructure","iCON Infrastructure","iCON Infrastructure Partners VII","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2025","Core-Plus","Closed-End","Financial Close","$3.7B commitments","COMMITMENTS","PROPOSED_CORRECTION","FUND-095","fundName | investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | vintage | fundStatus","HIGH"
"IFM Investors","IFM Investors","IFM Global Infrastructure Fund","NAMED_FUND","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Buckeye Partners","Evergreen","Core-Plus","Evergreen","Evergreen","$73.6B","","PROPOSED_CORRECTION","FUND-097","fundName | investmentStrategy | regions","HIGH"
"IFM Investors","IFM Investors","IFM Core Energy Transition Fund","NAMED_FUND","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Swift Current Energy","Evergreen","Value-Add","Evergreen","Evergreen","[TBD]","","PROPOSED_CORRECTION","FUND-096","fundName | investmentStrategy | regions","HIGH"
"Igneo Infrastructure Partners","Igneo Infrastructure Partners","Global Diversified Infrastructure Fund (GDIF)","NAMED_FUND","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Patriot Rail Company LLC","Evergreen","Core-Plus","Evergreen","Evergreen","$7.2B+ AUM","AUM","PROPOSED_CORRECTION","FUND-098","investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | regions","HIGH"
"Igneo Infrastructure Partners","Igneo Infrastructure Partners","North American Diversified Infrastructure Fund (NADIF)","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2024","Value-Add","Closed-End","Raising","$600M first close","FIRST_CLOSE","PROPOSED_CORRECTION","FUND-099","investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | fundStatus","HIGH"
"InfraBridge","InfraBridge","InfraBridge Global Infrastructure Fund (GIF I)","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","ITS ConGlobal","2015","Core-Plus","Closed-End","Financial Close","$1.411B commitments","COMMITMENTS","PROPOSED_CORRECTION","FUND-099A","fundName | investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | vintage | regions | sourceUrls","HIGH"
"InfraBridge","InfraBridge","AMP Capital Global Infrastructure Fund II (GIF II)","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Expedient","2019","Core-Plus","Closed-End","Financial Close","$3.4B","","PROPOSED_CORRECTION","FUND-099B","regions","HIGH"
"InfraRed Capital Partners","InfraRed Capital Partners","InfraRed Infrastructure Fund VI","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","Public Safety Towers","2021","Value-Add","Closed-End","Financial Close","$1.8B final close","FINAL_CLOSE","PROPOSED_NEW","","","HIGH"
"InfraRed Capital Partners","InfraRed Capital Partners","HICL Infrastructure PLC","NAMED_FUND","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Texas Nevada Transmission","Evergreen","Core","Listed / Evergreen","Evergreen","£3.03B NAV","AUM","PROPOSED_CORRECTION","FUND-102","investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | regions","HIGH"
"J.P. Morgan Asset Management","J.P. Morgan Asset Management","Global Transport Income Fund (GTIF)","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Bold Ocean","Undisclosed","Core-Plus","Closed-End","Financial Close","Undisclosed","","PROPOSED_NEW","","","HIGH"
"KKR","KKR","KKR Diversified Core Infrastructure Fund","NAMED_FUND","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","Evergreen","Core","Evergreen","Evergreen","$13.8B amount sold","AMOUNT_SOLD","PROPOSED_CORRECTION","FUND-105","fundName | investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | regions","HIGH"
"KKR","KKR","KKR Global Climate Transition Fund (USD) SCSp","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2024","Opportunistic","Closed-End","Raising","$3.0B amount sold","AMOUNT_SOLD","PROPOSED_CORRECTION","FUND-106","fundName | investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | vintage | regions","HIGH"
"Morgan Stanley Infrastructure Partners","Morgan Stanley Infrastructure Partners","North Haven Infrastructure Partners III","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Lightpath","Not disclosed in opened evidence","Value-Add","Closed-End","Financial Close","$5.5B final close","FINAL_CLOSE","PROPOSED_NEW","","","HIGH"
