company_name,country,current_owner_investment_firm,current_ownership_vehicle,investment_year,verified_fund_vehicle_result,result_status,evidence_urls,evidence_type,confidence,proposed_seed_data_action,notes
TotalEnergies Texas Solar & BESS,United States,Apollo Global Management,Apollo Clean Transition Equity,2024,Apollo Clean Transition Equity,Verified fund,https://ir.apollo.com/news-events/press-releases/detail/528/apollo-funds-acquire-50-stake-in-2-gw-texas-solar-and-bess; https://corporate.totalenergies.us/news/totalenergies-implements-its-strategy-capital-recycling-acquisition-germany-and-farm-down-us; https://www.whitecase.com/news/press-release/white-case-advises-totalenergies-sale-50-percent-2-gw-renewable-portfolio-united,press release; transaction source; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Apollo Global Management | Fund: Apollo Clean Transition Equity | Ownership Interest: 50% Verified fund matches an existing fund-list entry.
US Water Systems,United States,Argo Infrastructure Partners,Argo Infrastructure Partners (Apollo),2017,Argo Infrastructure Partners (Apollo),Verified fund - missing from funds list,https://www.suez-asia.com/-/media/suez-global/files/publication/annual-report/document-de-reference-2018-en.pdf; https://www.pennlive.com/news/2019/05/middletown-picks-private-company-for-borough-water-system-operations.html; https://www.bayonnenj.org/content/236/default.aspx; https://www.penncapital-star.com/blog/middletown-borough-oks-water-sewer-p3-project/,manager/company ownership source; supporting source; supplemental source,High,"Review adding or aliasing ""Argo Infrastructure Partners (Apollo)"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: Apollo Global Management | Fund: Argo Infrastructure Partners (Apollo) | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
US Wind,United States,Apollo Global Management,Apollo Infrastructure Opportunities Fund II,2020,Apollo Infrastructure Opps. Fund II,Verified fund,https://ir.apollo.com/news-events/press-releases/detail/135/apollo-infrastructure-funds-announce-strategic-investment; https://uswindinc.com/about-us/; https://uswindinc.com/us-winds-construction-and-operations-plan-approved/; https://uswindinc.com/us-wind-wins-big-in-maryland/,manager/company ownership source; company/manager page; supporting source; supplemental source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Apollo Global Management | Fund: Apollo Infrastructure Opps. Fund II | Ownership Interest: Not publicly disclosed. Verified fund matches an existing fund-list entry.
Valor Compute Infrastructure (VCI),United States,Apollo Global Management,Apollo Funds,2026,Apollo Funds,Disclosed but generic,https://www.apollo.com/insights-news/pressreleases/2026/01/apollo-backs-5-4-billion-valor-and-xai-data-center-compute-infrastructure-transaction-with-3-5-billion-capital-solution-3214463; https://www.prnewswire.com/news-releases/apollo-backs-5-4-billion-valor-and-xai-data-center-compute-infrastructure-transaction-with-3-5-billion-capital-solution-302343615.html; https://www.datacenterdynamics.com/en/news/valor-equity-partners-raises-54bn-to-buy-nvidia-gpus-for-xai/,manager/company ownership source; press release; supporting source; manager page; supplemental source,Medium,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Apollo Global Management | Fund: Apollo Funds | Ownership Interest: Not publicly disclosed. Supplemental detail supports the current generic vehicle label but does not identify a distinct exact fund.
Centric Fiber,United States,Ara Partners,Ara Infrastructure Fund I,2025,Ara Infrastructure Fund I,Verified fund,https://www.arapartners.com/news/ara-partners-acquires-centric-fiber/; https://www.prnewswire.com/news-releases/ara-partners-acquires-centric-fiber-a-fast-growing-fiber-to-the-home-platform-in-north-america-302619478.html; https://centricfiber.com/,manager/company ownership source; press release; company/manager page; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Ara Partners | Fund: Ara Infrastructure Fund I | Ownership Interest: Not publicly disclosed. Verified fund matches an existing fund-list entry.
Gate City Power,United States,Ara Partners,Ara Energy,2026,Ara Energy,Verified fund - missing from funds list,https://www.arapartners.com/news/ara-energy-to-acquire-gate-city-power-gate-city-renewable-fuels-and-interest-in-jet-retail-network-for-875-million/; https://www.prnewswire.com/news-releases/ara-energy-to-acquire-gate-city-power-gate-city-renewable-fuels-and-interest-in-jet-retail-network-for-875-million-302709985.html; https://www.reuters.com/business/energy/ara-partners-unit-875-million-deal-power-ethanol-assets-2026-03-11/,press release; supporting source; manager page,High,"Review adding or aliasing ""Ara Energy"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: Ara Partners | Fund: Ara Energy | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Gate City Renewable Fuels,United States,Ara Partners,Ara Energy,2026,Ara Energy,Verified fund - missing from funds list,https://www.arapartners.com/news/ara-energy-to-acquire-gate-city-power-gate-city-renewable-fuels-and-interest-in-jet-retail-network-for-875-million/; https://www.prnewswire.com/news-releases/ara-energy-to-acquire-gate-city-power-gate-city-renewable-fuels-and-interest-in-jet-retail-network-for-875-million-302709985.html; https://www.reuters.com/business/energy/ara-partners-unit-875-million-deal-power-ethanol-assets-2026-03-11/,press release; supporting source; manager page,High,"Review adding or aliasing ""Ara Energy"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: Ara Partners | Fund: Ara Energy | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Lincoln Terminal Holdings,United States,Ara Partners,Ara Infrastructure Fund I,2022,Ara Infrastructure Fund I,Verified fund,https://www.arapartners.com/news/ara-partners-acquires-majority-interest-in-lincoln-terminals/; https://www.prnewswire.com/news-releases/ara-partners-acquires-majority-interest-in-lincoln-terminals-301677908.html; https://lincolnenergysolutions.com/; https://lincolnenergysolutions.com/terminals/,manager/company ownership source; press release; company/manager page; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Ara Partners | Fund: Ara Infrastructure Fund I | Ownership Interest: Not publicly disclosed. Verified fund matches an existing fund-list entry.
USD Clean Fuels,United States,Ara Partners,Ara Infrastructure Fund I,2024,Ara Infrastructure Fund I,Verified fund,https://www.arapartners.com/news/ara-partners-acquires-majority-interest-in-usd-clean-fuels/; https://usdcleanfuels.com/; https://usdcleanfuels.com/mission-and-strategy/; https://usdcleanfuels.com/west-colton/,manager/company ownership source; company/manager page; supporting source; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Ara Partners | Fund: Ara Infrastructure Fund I | Ownership Interest: Not publicly disclosed. Verified fund matches an existing fund-list entry.
Advanced Power,United States,ArcLight Capital Partners,n.a.,2025,n.a.,n.a.,https://www.prnewswire.com/news-releases/arclight-acquires-advanced-power-a-leading-power-infrastructure-developer-302512542.html; https://www.advanced-power.com/; https://www.advanced-power.com/assets/2025.07.08-FINAL-MCE-RFP-Press-Release_Bechtel-AP.pdf; https://www.advanced-power.com/assets/10.27.25-FINAL-Advanced-Powers-640-MW-Maple-Creek-Development-Secures-GE-Vernova-H-Class-Equipment-Accelerating-Development-Timeline.pdf,press release; company/manager page; supporting source; supplemental source,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Capital Partners | Ownership Interest: Not publicly disclosed. Supplemental detail discloses only the owner/manager name, not a distinct fund."
Alpha Generation (AlphaGen),United States,ArcLight Capital Partners,ArcLight Energy Partners Fund VII,2024,ArcLight Energy Partners Fund VII,Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/arclight-creates-alphagen-to-manage-one-of-the-largest-power-infrastructure-portfolios-in-the-united-states-302031341.html; https://www.alphagen.com/; https://arclight.com/portfolio-services/,press release; company/manager page; supporting source; supplemental source; manager page,High,"Review adding or aliasing ""ArcLight Energy Partners Fund VII"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Energy Partners Fund VII | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Catalyst Old River Hydroelectric,United States,ArcLight Capital Partners,n.a.,2011,n.a.,n.a.,https://www.prnewswire.com/news-releases/arclight-announces-successful-closing-of-renewable-infrastructure-continuation-fund-301328260.html; https://arclight.com/investments/; https://www.businesswire.com/news/home/20210805005056/en/Prudential-Private-Capital-invests-%2460M-in-Rougaroux-Power-Holdings; https://www.prudentialprivatecapital.com/perspectives/prudential-private-capital-invests-60m-in-catalyst-vidalia-holding-corporation,press release; company/manager page; manager page; supplemental source,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Capital Partners | Ownership Interest: Not publicly disclosed. Supplemental detail discloses only the owner/manager name, not a distinct fund."
Eastern Generation,United States,ArcLight Capital Partners,AlphaGen / ArcLight,2015,AlphaGen / ArcLight,Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/arclight-capital-partners-announces-completion-of-eastern-generations-acquisition-of-a-power-asset-portfolio-from-tenaska-300196879.html; https://www.easterngeneration.com/; https://www.milbank.com/en/news/milbank-advises-arclight-capital-partners-on-eastern-generation.html,press release; company/manager page; supporting source; supplemental source; manager page,High,"Review adding or aliasing ""AlphaGen / ArcLight"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: AlphaGen / ArcLight | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Elevate Renewables,United States,ArcLight Capital Partners,ArcLight Energy Partners Fund VII,2022,ArcLight Energy Partners Fund VII,Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/arclight-makes-150-million-commitment-to-elevate-renewables-301734222.html; https://www.elevaterenewables.com/; https://www.prnewswire.com/news-releases/arclight-and-elevate-announce-new-york-citys-largest-battery-storage-project-to-date-302157303.html,press release; company/manager page; supplemental source,High,"Review adding or aliasing ""ArcLight Energy Partners Fund VII"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Energy Partners Fund VII | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Generation Bridge,United States,ArcLight Capital Partners,AlphaGen / ArcLight,2021,AlphaGen / ArcLight,Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/arclight-closes-acquisition-of-4-9gw-power-generation-portfolio-from-nrg-energy-301437923.html; https://www.alphagen.com/; https://arclight.com/portfolio-services/,press release; company/manager page; supporting source; supplemental source; manager page,High,"Review adding or aliasing ""AlphaGen / ArcLight"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: AlphaGen / ArcLight | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Gulf Coast Express Pipeline (GCX),United States,ArcLight Capital Partners,AL GCX Holdings LLC (Fund VIII),2025,AL GCX Holdings LLC (Fund VIII),Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/arclight-announces-865-million-acquisition-of-strategic-pipeline-interest-302365746.html; https://www.kindermorgan.com/Operations/Natural-Gas/Index; https://www.kindermorgan.com/Operations/Projects/GCX-Expansion-Project; https://investor.phillips66.com/financial-information/news-releases/news-release-details/2024/Phillips-66-announces-agreement-to-sell-interest-in-Gulf-Coast-Express/default.aspx,press release; supporting source; supplemental source,High,"Review adding or aliasing ""AL GCX Holdings LLC (Fund VIII)"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: AL GCX Holdings LLC (Fund VIII) | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Haynesville Gas Gathering System,United States,ArcLight Capital Partners,ArcLight / Cutlass Energy,2022,ArcLight / Cutlass Energy,Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/arclight-to-acquire-haynesville-gas-gathering-system-301508310.html; https://www.cutlassenergy.com/; https://www.sabermidstream.com/,press release; company/manager page; supplemental source,High,"Review adding or aliasing ""ArcLight / Cutlass Energy"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight / Cutlass Energy | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Infinigen Renewables,United States,ArcLight Capital Partners,ArcLight Energy Partners Fund VII,2021,ArcLight Energy Partners Fund VII,Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/arclight-launches-infinigen-renewables-platform-301447102.html; https://infinigenrenewables.com/about-us/; https://www.sonnedix.com/pl/news/sonnedix-agrees-to-sell-its-puerto-rico-solar-operations-to-infinigen-arclight,press release; company/manager page; supporting source; supplemental source; manager page,High,"Review adding or aliasing ""ArcLight Energy Partners Fund VII"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Energy Partners Fund VII | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Inspiration Mobility Group,United States,ArcLight Capital Partners,ArcLight Energy Partners Fund VII,2021,ArcLight Energy Partners Fund VII,Verified fund - missing from funds list,https://inspirationmobility.com/news/inspiration-launches-as-first-purpose-built-ev-solutions-company-announces-200m-commitment-and-fleet-partnership-with-revel; https://inspirationmobility.com/about; https://inspirationmobility.com/news/inspiration-announces-215-million-in-new-capital-from-macquarie-asset-management-and-ferrovial-s-a,manager/company ownership source; company/manager page; supporting source; supplemental source,High,"Review adding or aliasing ""ArcLight Energy Partners Fund VII"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Energy Partners Fund VII | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Invenergy AMPCI Thermal Power,United States / Canada,InfraBridge,AMP Capital Global Infrastructure Fund II (GIF II),2018,AMP Capital Global Infrastructure Fund II (GIF II),Verified fund,https://www.businesswire.com/news/home/20260311462798/en/ArcLight-to-Acquire-InfraBridges-50-Stake-in-5.4-GW-Power-Portfolio; https://www.infrabridge.com/our-portfolio; https://www.invenergy.com/; https://www.infrabridge.com/news/2026-03-12-arclight-to-acquire-infrabridge-50-stake-in-54-gw-power-portfolio,press release; manager/company ownership source; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: InfraBridge | Fund: Not publicly disclosed. | Ownership Interest: 50% Seed milestones or source evidence explicitly name the current fund vehicle.
Kleen Energy Systems,United States,ArcLight Capital Partners,n.a.,2023,n.a.,n.a.,https://www.prnewswire.com/news-releases/arclight-completes-acquisition-of-ownership-interest-in-kleen-energy-systems-301978649.html; https://www.kleenenergysystems.com/; https://www.prnewswire.com/news-releases/arclight-to-acquire-kleen-power-interests-302427124.html,press release; company/manager page; supplemental source,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Capital Partners | Ownership Interest: Not publicly disclosed. Supplemental detail discloses only the owner/manager name, not a distinct fund."
Lordstown Energy Center,United States,ArcLight Capital Partners,AlphaGen / ArcLight,2024,AlphaGen / ArcLight,Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/affiliate-of-arclight-to-acquire-lordstown-energy-center-302065400.html; https://www.macquarie.com/au/en/about/news/2024/macquarie-infrastructure-partners-iii-announces-sale-of-lordstown-energy-center.html; https://www.alphagen.com/,press release; transaction source; company/manager page; supplemental source,High,"Review adding or aliasing ""AlphaGen / ArcLight"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: AlphaGen / ArcLight | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Middletown Energy Center,United States,ArcLight Capital Partners,Parkway Generation / ArcLight,2025,Parkway Generation / ArcLight,Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/arclight-to-acquire-middletown-energy-center-302501772.html; https://www.axiuminfra.com/2025/07/25/july-23-2025-axium-infrastructure-and-its-equity-partners-sell-100-of-middletown-energy-center-to-arclight-capital/?lang=en; https://power.mhi.com/regions/amer/news/180521.html,press release; supporting source; manager page; supplemental source,High,"Review adding or aliasing ""Parkway Generation / ArcLight"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: Parkway Generation / ArcLight | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Natural Gas Pipeline Co. of America,United States,ArcLight Capital Partners,n.a.,2021,n.a.,n.a.,https://www.sec.gov/Archives/edgar/data/1506307/000150630723000023/kmi-20221231.htm; https://www.prnewswire.com/news-releases/arclight-acquires-interest-in-natural-gas-pipeline-company-of-america-one-of-the-largest-natural-gas-infrastructure-assets-in-north-america-302453172.html; https://www.lw.com/en/news/latham-watkins-advises-arclight-capital-partners-in-completed-acquisition-of-ngpl; https://www.kindermorgan.com/Operations/Natural_Gas/NGPL,SEC/filing; press release; transaction source; manager page; supplemental source,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Capital Partners | Ownership Interest: 62.5% Supplemental detail discloses only the owner/manager name, not a distinct fund."
Naugatuck Avenue Storage,United States,ArcLight Capital Partners,n.a.,2025,n.a.,n.a.,https://www.interconnection.fyi/project/isone-1123; https://arclight.com/; https://cleanview.co/planned-battery-projects/connecticut/1089_naugatuck_avenue_battery_storage_req20210108_CT_new_haven_poidevon_115_kv_open_position_between_4t_and_5t/naugatuck-avenue-battery-storage,transaction source; company/manager page; supporting source; manager page; supplemental source,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Capital Partners | Ownership Interest: Not publicly disclosed. Supplemental detail discloses only the owner/manager name, not a distinct fund."
Parkway Generation,United States,ArcLight Capital Partners,AlphaGen / ArcLight,2022,AlphaGen / ArcLight,Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/arclight-closes-acquisition-of-4-8-gw-power-generation-portfolio-from-pseg-301485739.html; https://www.alphagen.com/; https://arclight.com/portfolio-services/,press release; company/manager page; supporting source; supplemental source; manager page,High,"Review adding or aliasing ""AlphaGen / ArcLight"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: AlphaGen / ArcLight | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Phoenix Renewables,United States,ArcLight Capital Partners,ArcLight Infra Partners Fund VIII,2024,ArcLight Infra Partners Fund VIII,Verified fund,https://arclight.com/investments/; https://www.prnewswire.com/news-releases/arclight-announces-operating-focused-renewables-initiative-and-new-wind-investment-302207994.html; https://arclight.com/portfolio-services/,company/manager page; press release; supporting source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Infra Partners Fund VIII | Ownership Interest: Not publicly disclosed. Seed milestones or source evidence explicitly name the current fund vehicle.
Prospect Power,United States,ArcLight Capital Partners,Elevate Renewables / ArcLight,2026,Elevate Renewables / ArcLight,Verified fund - missing from funds list,https://www.businesswire.com/news/home/20260115405115/en/Elevate-Acquires-Prospect-Power-Storage-a-150-MW-Battery-Asset-in-Northern-Virginia; https://www.prnewswire.com/news-releases/swift-current-energy-executes-sale-of-prospect-power-to-elevate-302661837.html; https://swiftcurrentenergy.com/swift-current-energy-executes-sale-of-prospect-power-to-elevate/,press release; transaction source; supplemental source,High,"Review adding or aliasing ""Elevate Renewables / ArcLight"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: Elevate Renewables / ArcLight | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
REC Solar,United States,ArcLight Capital Partners,ArcLight Energy Partners Fund VII,2023,ArcLight Energy Partners Fund VII,Verified fund - missing from funds list,https://investors.duke-energy.com/news/news-details/2023/Duke-Energy-completes-sale-of-commercial-distributed-generation-portfolio-including-REC-Solar-to-ArcLight/default.aspx; https://recsolar.com/; https://recsolar.com/why-rec-solar/; https://recsolar.com/resources/blog/powering-possibilities-the-evolution-of-rec-solar/,manager/company ownership source; company/manager page; supporting source; manager page; supplemental source,High,"Review adding or aliasing ""ArcLight Energy Partners Fund VII"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Energy Partners Fund VII | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Sequitur Renewables,United States,ArcLight Capital Partners,n.a.,2022,n.a.,n.a.,https://www.prnewswire.com/news-releases/arclight-to-acquire-operating-pjm-windfarms-301596749.html; https://sequiturrenewables.com/; https://www.prnewswire.com/news-releases/arclights-sequitur-platform-to-acquire-operating-california-wind-farm-301825282.html; https://sequiturrenewables.com/category/news/,press release; company/manager page; supplemental source,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Capital Partners | Ownership Interest: Not publicly disclosed. Supplemental detail discloses only the owner/manager name, not a distinct fund."
SkyVest Renewables,United States,ArcLight Capital Partners,ArcLight Renewable Services,2024,ArcLight Renewable Services,Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/arclight-announces-operating-focused-renewables-initiative-and-new-wind-investment-302207994.html; https://www.skyvest.com/; https://arclight.com/portfolio-services/,press release; company/manager page; supporting source; supplemental source; manager page,High,"Review adding or aliasing ""ArcLight Renewable Services"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Renewable Services | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
"Takanock, LLC",United States,ArcLight Capital Partners,n.a.,2025,n.a.,n.a.,https://www.digitalbridge.com/news/2025-06-25-takanock-secures-500-million-commitment-from-arclight-and-digitalbridge; https://hl.com/about-us/transactions/takanock-arclight-digitalbridge/; https://www.prnewswire.com/news-releases/takanock-secures-500-million-commitment-from-arclight-and-digitalbridge-302490366.html,manager/company ownership source; company/manager page; press release; manager page,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Capital | Ownership Interest: Not publicly disclosed. Supplemental detail discloses only the owner/manager name, not a distinct fund."
Third Coast Infrastructure,United States,J.P. Morgan Asset Management,Infrastructure Investments Fund (IIF),2021,Infrastructure Investments Fund (IIF),Verified fund,https://www.prnewswire.com/news-releases/american-midstream-announces-completion-of-merger-300889399.html; https://www.third-coast.com/post/third-coast-midstream-completes-sale-of-significant-minority-interest; https://www.third-coast.com/; https://www.third-coast.com/about-us; https://www.third-coast.com/operations,press release; manager/company ownership source; company/manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: J.P. Morgan Asset Management | Fund: Infrastructure Investments Fund (IIF) | Ownership Interest: Not publicly disclosed. Verified fund matches an existing fund-list entry.
Third Coast Infrastructure,United States,ArcLight Capital Partners,n.a.,2019,n.a.,n.a.,https://www.prnewswire.com/news-releases/american-midstream-announces-completion-of-merger-300889399.html; https://www.third-coast.com/post/third-coast-midstream-completes-sale-of-significant-minority-interest; https://www.third-coast.com/; https://www.infrapppworld.com/update/arclight-closes-continuation-fund-with-us407-million; https://www.third-coast.com/post/third-coast-super-holdings-strengthens-financial-position-with-25-million-loan-upsize-and-repricing,press release; manager/company ownership source; company/manager page; supplemental source; manager page,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Capital Partners | Ownership Interest: Not publicly disclosed. Supplemental detail discloses only the owner/manager name, not a distinct fund."
Thunderbird Renewables,United States,ArcLight Capital Partners,ArcLight Infra Partners Fund VIII,2024,ArcLight Infra Partners Fund VIII,Verified fund,https://arclight.com/investments/; https://www.prnewswire.com/news-releases/arclight-announces-operating-focused-renewables-initiative-and-new-wind-investment-302207994.html; https://arclight.com/portfolio-services/,company/manager page; press release; supporting source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Infra Partners Fund VIII | Ownership Interest: Not publicly disclosed. Seed milestones or source evidence explicitly name the current fund vehicle.
Two Rivers Storage,United States,ArcLight Capital Partners,n.a.,2026,n.a.,n.a.,https://www.prnewswire.com/news-releases/new-jersey-bpu-selects-elevates-garden-state-reliability-battery-storage-project-to-improve-affordability-and-address-regional-power-shortage-302714749.html; https://www.nj.gov/bpu/newsroom/2026/approved/20260305.html; https://www.roi-nj.com/2026/03/17/industry/energy-utilities/njbpu-chooses-elevate-renewables-garden-state-reliability-project/,press release; supporting source; supplemental source,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Capital Partners | Ownership Interest: Not publicly disclosed. Supplemental detail discloses only the owner/manager name, not a distinct fund."
Zeem Solutions,United States,ArcLight Capital Partners,n.a.,2022,n.a.,n.a.,https://www.globenewswire.com/news-release/2022/07/06/2475140/0/en/Zeem-Solutions-EV-Fleet-as-a-Service-Provider-Secures-50-Million-Capital-Investment-from-Affiliates-of-ArcLight-Capital-Partners-Announces-Strategic-Partnership-with-LAZ-Parking-Re.html; https://www.zeemsolutions.com/about; https://www.zeemsolutions.com/press,press release; company/manager page; supporting source; supplemental source,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: ArcLight Capital Partners | Fund: ArcLight Capital Partners | Ownership Interest: Not publicly disclosed. Supplemental detail discloses only the owner/manager name, not a distinct fund."
AFCO,United States,Ardian,n.a.,2025,n.a.,n.a.,https://www.ardian.com/news-insights/press-releases/ardian-signs-agreement-acquisition-goldman-sachs-alternatives-stake; https://aviationfacilities.com/; https://aviationfacilities.com/about-us/our-history/; https://aviationfacilities.com/about-us/news/,press release; company/manager page; supplemental source; manager page,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: Ardian | Fund: Ardian Infrastructure | Ownership Interest: Not publicly disclosed. Supplemental detail discloses only the owner/manager name, not a distinct fund."
CampusParc,United States,Ardian,Ardian Americas Infrastructure Fund V (AAIF V),2024,Ardian Americas Infrastructure Fund V (AAIF V),Verified fund,https://www.ardian.com/news-insights/press-releases/ardian-acquires-100-stake-campusparc-concessionaire-ohio-state; https://osu.campusparc.com/; https://osu.campusparc.com/about-us/the-parking-lease-agreement/; https://www.qic.com/Investment-Capabilities/Infrastructure/Global-Portfolio/CampusParc,manager/company ownership source; company/manager page; supplemental source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Ardian | Fund: Ardian Americas Infrastructure Fund V (AAIF V) | Ownership Interest: 100% Verified fund matches an existing fund-list entry.
Clermont,Canada,Ardian,Ardian Americas Infrastructure Fund V (AAIF V),2024,Ardian Americas Infrastructure Fund V (AAIF V),Verified fund,https://www.ardian.com/news-insights/press-releases/indigo-group-and-ardian-create-clermont-new-venture-accelerate-growth; https://www.fasken.com/en/experience/2025/04/ardian-announced-the-creation-of-a-new-canadian-joint-venture; https://www.group-indigo.com/wp-content/uploads/2024/03/20240318-Press-release-Clermont.pdf,press release; supporting source; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Ardian | Fund: Ardian Infrastructure | Ownership Interest: Not publicly disclosed. Seed milestones or source evidence explicitly name the current fund vehicle.
Dauntless Energy,United States,Ardian,Ardian Americas Infrastructure Fund IV (AAIF IV),2018,Ardian Americas Infrastructure Fund IV (AAIF IV),Verified fund,https://www.ardian.com/press-releases/ardian-infrastructure-partners-tph-create-skyline-renewables-and-acquires-60mw-wind; https://www.dauntless-energy.com/; https://www.dauntless-energy.com/about; https://www.dauntless-energy.com/our-portfolios,manager/company ownership source; company/manager page; supplemental source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Ardian | Fund: Ardian Infrastructure | Ownership Interest: Not publicly disclosed. Seed milestones or source evidence explicitly name the current fund vehicle.
