priority,match_status,company_name,country,company_status,owner_source,owner_index,investment_firm,owner_status,ownership_vehicle,investment_year,exact_fund_name,suggested_fund_name,candidate_score,suggested_action,rationale,evidence_urls
review,generic_vehicle,SOLCAP (KeyState Renewables JVs),United States,Active,owners[],0,Generate Capital,Active,Joint Venture (Generate & KeyState),2021,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://generatecapital.com/generate-capital-closes-85-million-community-solar-tax-equity-fund/; https://www.prnewswire.com/news-releases/generate-capital-closes-85-million-community-solar-tax-equity-fund-with-keystate-expanding-leadership-in-distributed-clean-energy-financing-302579282.html; https://generatecapital.com/generate-capital-and-keystate-renewables-solcap-platform-deliver-53-5-mwdc-in-community-solar-across-11-projects-in-new-york-with-latest-joint-tax-equity-facility-close/
review,generic_vehicle,Soltage Distributed Solar Portfolio (Iris & Helios),United States,Active,owners[],0,Harrison Street,Active,Core Infrastructure Strategy,2021,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://soltage.com/soltage-secures-second-investment-for-20-mw-of-distributed-solar-projects-from-harrison-street-capital-partnership/; https://soltage.com/soltage-forms-250-million-distributed-solar-investment-program-with-harrison-street/; https://soltage.com/
review,generic_vehicle,Sorel-Tracy Detention Centre,Canada,Active,owners[],0,Axium Infrastructure,Active,Axium Managed Funds,2013,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.axiuminfra.com/wp-content/uploads/2016/12/EN_Sorel-Tracy-Detention-Centre-news-Fiera-Axium-EN.pdf; https://www.pppcouncil.ca/projects/sorel-tracy-detention-centre; https://pomerleau.ca/en/projects/project/sorel-tracy-detention-centre; https://www.sqi.gouv.qc.ca/fileadmin/a_propos/publications/rapports_annuels/ra_sqi-2016-2017.pdf
review,generic_vehicle,South Reach Networks,United States,Active,owners[],0,Blue Owl,Active,Fund managed by Blue Owl Digital Infrastructure,2025,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://srnetworks.net/south-reach-networks-acquired-by-blue-owl-digital-infrastructure/; https://srnetworks.net/; https://srnetworks.net/solutions/; https://srnetworks.net/assets/uploads/2024/06/SouthReachNetwork_CorporateOverview_June2024.pdf
review,generic_vehicle,SpecialtyCare,United States,Active,owners[],0,MSIP,Active,Morgan Stanley Infrastructure Partners-managed funds,2021,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.morganstanley.com/im/en-us/individual-investor/insights/press-release/morgan-stanley-infrastructure-partners-investment-specialty-care.html; https://specialtycareus.com/; https://specialtycareus.com/about-us/; https://www.kohlberg.com/news/morgan-stanley-infrastructure-partners-announces-investment-in-specialtycare/
review,generic_vehicle,Stella Wind Farm,United States,Active,owners[],0,Allianz Global Investors,Active,Allianz Capital Partners (Tax Equity),2018,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.prnewswire.com/news-releases/eon-achieves-successful-commercial-operation-and-tax-equity-financing-for-stella-wind-farm-300782909.html; https://www.eon.com/en/about-us/media/press-release/2018/eon-starts-construction-of-a-new-wind-farm-in-texas-and-makes-important-progress-in-us-business.html; https://americas.rwe.com/our-energy/onshore-wind/onshore-wind-projects-and-locations/; https://comptroller.texas.gov/economy/development/prop-tax/ch313/agreement-docs-details.php?id=1176
review,generic_vehicle,Stillhouse Solar Project,United States,Active,owners[],0,Acadia Infrastructure Capital,Active,Preferred Equity,2024,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://matrixrenewables.com/press-releases/matrix-renewables-secures-commitments-from-microsoft-and-mufg-led-lender-consortium-for-210mwac-solar-project-in-bell-county-texas/; https://matrixrenewables.com/press-releases/matrix-renewables-announces-acquisition-of-stillhouse-solar-project-from-oci-solar-power/; https://matrixrenewables.com/existing-projects/u-s/; https://matrixrenewables.com/press-releases/matrix-renewables-and-solv-energy-celebrate-completion-of-stillhouse-solar-in-bell-county-texas/
review,generic_vehicle,Swiftsure Housing Partners (Broadview at Vanderbilt),United States,Active,owners[],0,Axium Infrastructure,Active,Axium Managed Funds,2021,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://bbcampussolutions.com/balfour-beatty-campus-solutions-to-develop-mixed-use-student-housing-project-for-vanderbilt-university/; https://www.axiuminfra.com/portfolio-assets/?lang=en; https://www.balfourbeatty.com/media-centre/latest/balfour-beatty-campus-solutions-to-develop-mixed-use-student-housing-project-for-vanderbilt-university/; https://www.balfourbeatty.com/media-centre/latest/balfour-beatty-campus-solutions-student-housing-development-at-vanderbilt-university-earns-leed-gold-certification/
review,generic_vehicle,The Parking Spot,United States,Active,owners[],0,KKR,Active,KKR Global Infrastructure Strategy,2024,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.kkr.com/insights/parking-spot-employee-ownership-program; https://parking-mobility-magazine.org/around-the-industry-2/kkr-acquires-leading-near-airport-parking-provider-the-parking-spot/; https://www.theparkingspot.com/; https://www.theparkingspot.com/about
review,generic_vehicle,Thule Energy Storage,United States,Active,owners[],0,Argo Infrastructure Partners,Active,Argo managed funds,2018,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.globenewswire.com/news-release/2018/06/26/1529722/0/en/Ice-Energy-Announces-Long-Term-Funding-Agreement-with-Argo-Infrastructure-Partners.html; https://www.energy-storage.news/ice-energy-acquired-thule-energy-storage-customer-assets-services-unaffected/; https://www.iceenergy.com/; https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M345/K698/345698025.PDF
review,generic_vehicle,TierPoint,United States,Active,owners[],0,Argo Infrastructure Partners,Active,Argo managed funds,2022,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.tierpoint.com/news/tierpoint-closes-500-million-investment-from-argo-infrastructure-partners/; https://www.tierpoint.com/; https://www.businesswire.com/news/home/20251209662043/en/Argo-Infrastructure-Partners-Increases-Ownership-and-Capital-Commitment-to-TierPoint
review,generic_vehicle,Travers Solar Project,Canada,Active,owners[],0,Axium Infrastructure,Active,Axium Managed Funds,2023,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.axiuminfra.com/2023/01/24/january-24-2023-axium-infrastructure-acquires-the-travers-solar-project-located-in-alberta/?lang=en; https://greengatepower.com/portfolio/travers-solar; https://www.axiuminfra.com/portfolio-assets/?lang=en; https://www.axiuminfra.com/wp-content/uploads/2023/01/Axium_Travers-Solar-Acquisition_1.24.2023.pdf
review,generic_vehicle,"United Utility Services, LLC",United States,Active,owners[],0,Sandbrook,Active,Funds managed by Blackstone Credit & Insurance,2026,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://sandbrook.com/sandbrook-announces-acquisition-of-united-utility-services/; https://www.bernhardcapital.com/bcp-completes-sale-of-united-utility-services/; https://unitedutility.com/about; https://unitedutility.com/contact
review,generic_vehicle,Upper Peninsula Power Company (UPPCO),United States,Active,owners[],0,Axium Infrastructure,Active,Axium Managed Funds,2021,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.axiuminfra.com/2021/07/01/june-4-2021-axium-infrastructure-completes-the-acquisition-of-regulated-electric-utility-provider-in-michigans-upper-peninsula/?lang=en; https://www.uppco.com/; https://www.axiuminfra.com/portfolio-assets/?lang=en; https://mi-psc.my.site.com/sfc/servlet.shepherd/version/download/068t000000Oo3OFAAZ
review,generic_vehicle,Vantage Data Centers,United States / Canada,Active,owners[],2,GCM Grosvenor,Active,"Labor Impact Fund, L.P. / Infrastructure Advantage Strategy",2020,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.silverlake.com/consortium-of-digital-bridge-psp-investments-and-tiaa-investments-acquires-vantage-data-centers/; https://vantage-dc.com/news/vantageacquired/; https://www.cbrecaledon.com/wp-content/uploads/2020/07/Vantage-Data-Centers-Investment-Press-Release.pdf; https://www.gcmgrosvenor.com/wp-content/uploads/GCM-Grosvenor-LIF-2020-Impact-Report.pdf
review,generic_vehicle,Vertical Bridge,United States,Active,owners[],2,KKR,Active,KKR core infrastructure strategy,2026,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.lacaisse.com/en/news/pressreleases/cdpq-to-acquire-30-stake-in-us-wireless-infrastructure-leader-vertical-bridge; https://www.verticalbridge.com/press-releases/vertical-bridge-holdings-completes-second-round-capital-raise-equity-commitments-now-total-750-million; https://www.verticalbridge.com/press-releases/vertical-bridge-announces-1-5-billion-strategic-equity-investment-from-kkr; https://www.digitalbridge.com/news/2021-10-13-digitalbridge-completes-acquisition-of-controlling-stake-in-vertical-bridge
review,generic_vehicle,Vesper Energy,United States,Active,owners[],0,GCM,Active,Infrastructure Advantage Strategy,2023,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.prnewswire.com/news-releases/gcm-grosvenor-to-join-vesper-energy-as-new-strategic-partner-301926630.html; https://vesperenergy.com/about/; https://vesperenergy.com/projects/; https://vesperenergy.com/vesper-energy-cuts-ribbon-on-hornet-solar-one-of-the-largest-single-phase-solar-projects-in-the-us/
review,generic_vehicle,Viridis Initiative,United States,Active,owners[],0,Generate Capital,Active,Joint Venture (Generate & McKinstry),2023,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.mckinstry.com/news/generate-capital-and-mckinstry-launch-viridis-initiative-to-accelerate-decarbonization-of-institutional-buildings/; https://viridisinitiative.com/why-viridis/our-origin-story/; https://generatecapital.com/cities-and-campuses/
review,generic_vehicle,WaterBridge Resources,United States,Active,owners[],0,GIC,Active,GIC Infrastructure (Minority Stake),2019,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.prnewswire.com/news-releases/five-point-energy-sells-minority-equity-stake-in-leading-water-midstream-company-waterbridge-resources-to-global-long-term-investor-gic-300852497.html; https://www.kirkland.com/news/press-release/2019/05/kirkland-counsels-gic-on-purchase-of-minority-equi; https://h2obridge.com/; https://h2obridge.com/news/news-details/2025/Sed-ut-perspiciatis-unde-omnis/default.aspx
review,generic_vehicle,Westlands Electric Power Company (WEPCO),United States,Active,owners[],0,CIM Group,Active,CIM Infrastructure Platform,2025,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.cimgroup.com/press-releases/cim-group-forms-westlands-electric-power-company; https://www.cimgroup.com/our-platforms/infrastructure; https://renewablesnow.com/news/us-real-estate-firm-cim-groups-gw-level-renewables-ops-into-new-entity-1283241/
review,generic_vehicle,Westlands Solar Park (incl. Aquamarine Solar),United States,Active,owners[],0,CIM Group,Active,CIM Infrastructure Platform,2014,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.cimgroup.com/case-studies/aquamarine-solar-project; https://www.cimgroup.com/press-releases/westlands-solar-park-one-of-the-largest-permitted-solar-parks-in-the-world-and-the-largest-in-north-america-starts-construction; https://www.cimgroup.com/press-releases/cim-group-forms-westlands-electric-power-company; https://labusinessjournal.com/infrastructure/first-phase-cim-groups-massive-solar-park-central/
review,generic_vehicle,"Wind Energy Transmission Texas, LLC (WETT)",United States,Active,owners[],0,Axium Infrastructure,Active,Axium Managed Funds,2020,,n.a.,,"Review whether this generic structure should remain as-is or become ""n.a."".","The vehicle describes a structure, account, client pool, or transaction form rather than an exact disclosed fund.",https://www.axiuminfra.com/2025/05/13/march-24-2025-axium-infrastructure-acquires-additional-interest-in-regulated-electric-transmission-provider-in-texas/?lang=en; https://www.wettllc.com/; https://www.wettllc.com/about/; https://www.axiuminfra.com/portfolio-assets/?lang=en
review,composite_fund_match,FirstLight Fiber,United States,Active,owners[],0,Antin Infrastructure Partners,Active,Antin Flagship Fund III / Antin Fund III-B,2018,,Antin Flagship Fund III / Antin Fund III-B,1.000,Review whether this should be split into separate owners[] rows so each fund can link cleanly.,The vehicle appears to contain multiple fundName matches in one field; a single OwnershipPeriod can only hold one fundId.,https://www.prnewswire.com/news-releases/antin-infrastructure-partners-completes-acquisition-of-firstlight-300686268.html; https://financialreports.eu/filings/835156/content/; https://www.firstlight.net/about/our-story/; https://www.firstlight.net/
review,unclassified_review,38 Degrees North,United States,Active,owners[],0,Kimmeridge,Active,Kimmeridge Carbon Solutions,2025,,Ara Energy Decarbonization Fund I,0.333,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Ara Energy Decarbonization Fund I"" (0.333).",https://www.prnewswire.com/news-releases/38-degrees-north-announces-over-230-million-of-corporate-growth-capital-raised-and-welcomes-new-equity-investors-climate-adaptive-infrastructure-and-kimmeridge-302507588.html; https://www.foley.com/news/2025/07/kimmeridge-sale-us-light-energy-growth-equity-38-degrees-north/; https://www.38degreesn.com/; https://www.38degreesn.com/team
review,unclassified_review,407 ETR,Canada,Active,owners[],0,CPP Investments,Active,Real Assets (Infrastructure),2010,,Temasek Infrastructure,0.731,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Temasek Infrastructure"" (0.731).",https://www.newswire.ca/news-releases/cppib-increases-investment-in-407-international-inc--879428070.html; https://newsroom.407etr.com/2025-10-01-700-Million-of-Medium-Term-Notes-Issued-by-407-International-Inc; https://www.investpsp.com/en/news/psp-investments-joins-cpp-investments-and-ferrovial-in-407-etr-ownership-group/; https://www.cppinvestments.com/newsroom/psp-investments-and-cpp-investments-complete-407-etr-transactions/
review,unclassified_review,Abbotsford Regional Hospital and Cancer Centre,Canada,Active,owners[],0,Equitix,Active,Jura Acquisition,2018,,Ara Fund III,0.313,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Ara Fund III"" (0.313).",https://www.marketscreener.com/quote/stock/JOHN-LAING-INFRASTRUCTURE-6919133/news/John-Laing-Infrastructure-Fund-Ld-Scheme-of-Arrangement-becomes-Effective-27339064/; https://www.fraserhealth.ca/Service-Directory/Locations/Abbotsford/abbotsford-regional-hospital-and-cancer-centre; https://www.fvhcf.ca/welcome-to-arh/; https://www.lexpert.ca/big-deals/ahcc-and-aha-complete-p3/345623
review,unclassified_review,Accel International,United States,Active,owners[],0,Blackstone,Active,Blackstone Energy Transition Partners,2025,,Blackstone Energy Transition Partners V (BETP V),0.840,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Blackstone Energy Transition Partners V (BETP V)"" (0.840).",https://accelinternational.com/products/; https://accelinternational.com/; https://accelinternational.com/about-us/; https://www.blackstone.com/our-businesses/blackstone-energy-transition-partners/
review,unclassified_review,Accelerate Infrastructure Opportunities,United States,Active,owners[],0,CBRE Investment Management,Active,CBRE Private Infrastructure Funds,2022,,Sandbrook Climate Infrastructure Fund II,0.675,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Sandbrook Climate Infrastructure Fund II"" (0.675).",https://www.cbreim.com/press-releases/accelerate-infrastructure-opportunities-raises-630-million-from-cbre-im; https://www.cbreim.com/press-releases/accelerate-and-cbreim-launch-partnership-to-acquire-infrastructure-ground-leases; https://we-are-accelerate.com/
review,unclassified_review,ACES Delta,United States,Active,owners[],1,OTPP,Active,"Haddington ESP I, LP",2022,,Antin NextGen Fund I,0.333,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Antin NextGen Fund I"" (0.333).",https://www.otpp.com/en-ca/about-us/news-and-insights/2022/haddington-ventures-announces--650-million-equity-syndication-pr/; https://hvllc.com/haddingtonesp/; https://www.aimco.ca/insights/worlds-largest-green-hydrogen-platform; https://aces-delta.com/media/us-doe-closes-504-4-million-loan-to-advanced-clean-energy-storage-project-for-hydrogen-production-and-storage/
review,unclassified_review,ACES Delta,United States,Active,owners[],2,AIMCo,Active,"Haddington ESP I, LP",2022,,Antin NextGen Fund I,0.333,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Antin NextGen Fund I"" (0.333).",https://www.otpp.com/en-ca/about-us/news-and-insights/2022/haddington-ventures-announces--650-million-equity-syndication-pr/; https://hvllc.com/haddingtonesp/; https://www.aimco.ca/insights/worlds-largest-green-hydrogen-platform; https://aces-delta.com/media/us-doe-closes-504-4-million-loan-to-advanced-clean-energy-storage-project-for-hydrogen-production-and-storage/
review,unclassified_review,ACES Delta,United States,Active,owners[],3,AIMCo,Active,"Haddington ESP I, LP",2022,,Antin NextGen Fund I,0.333,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Antin NextGen Fund I"" (0.333).",https://www.otpp.com/en-ca/about-us/news-and-insights/2022/haddington-ventures-announces--650-million-equity-syndication-pr/; https://hvllc.com/haddingtonesp/; https://www.aimco.ca/insights/worlds-largest-green-hydrogen-platform; https://aces-delta.com/media/us-doe-closes-504-4-million-loan-to-advanced-clean-energy-storage-project-for-hydrogen-production-and-storage/
review,unclassified_review,AEP Transmission Company,United States,Active,owners[],0,KKR,Active,KKR Core Infrastructure,2025,,Wren House Infrastructure,0.720,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Wren House Infrastructure"" (0.720).",https://www.investpsp.com/en/news/kkr-and-psp-investments-acquire-minority-stake-in-two-american-electric-power-transmission-companies/; https://www.aep.com/news/stories/view/10263/; https://www.kkr.com/deals/aep-transmission; https://www.aep.com/news/stories/view/9948/
review,unclassified_review,AES Clean Energy OpCo A,United States,Active,owners[],0,Ullico,Active,UIF,2018,,Ullico UIF,0.590,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Ullico UIF"" (0.590).",https://www.utilitydive.com/news/investment-firm-ullico-buys-24-stake-in-13-gw-renewables-portfolio/541604/; https://www.ullico.com/uif-portfolio/; https://www.windpowerengineering.com/ullico-invests-in-wind-and-solar-projects/; https://www.ullico.com/products/ullico-infrastructure-fund/
review,unclassified_review,Aither Systems,United States,Active,owners[],0,EnCap Investments,Active,EnCap Energy Transition,2024,,ISQ Energy Transition Infrastructure Fund,0.667,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""ISQ Energy Transition Infrastructure Fund"" (0.667).",https://www.encapinvestments.com/about/energy-transition/portfolio/current/aither-systems; https://www.aithersystems.com/; https://www.aithersystems.com/services/
review,unclassified_review,AL Sandersville Holdings,United States,Active,owners[],0,Harbert Management Corp (Harbert Infra / Gulf Pacific),Active,"Gulf Pacific Power, LLC",2021,,EQT Active Core I,0.318,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""EQT Active Core I"" (0.318).",https://www.globenewswire.com/news-release/2021/07/29/2271522/0/en/Gulf-Pacific-Power-LLC-Acquires-Peaking-Facility-Near-Sandersville.html; https://www.harbert.net/; https://www.wspp.org/pages/Documents/07_27_21_northern_star_non_member_website_posting.pdf
review,unclassified_review,"ALLETE, Inc.",United States,Active,owners[],0,CPP Investments,Active,Real Assets (Infrastructure),2025,,Temasek Infrastructure,0.731,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Temasek Infrastructure"" (0.731).",https://investor.allete.com/news-releases/news-release-details/allete-enters-agreement-be-acquired-partnership-led-canada; https://investor.allete.com/news-releases/news-release-details/allete-enters-agreement-be-acquired-partnership-led-canada; https://investor.allete.com/news-releases/news-release-details/allete-announces-completion-acquisition-cpp-investments-and; https://investor.allete.com/news-releases/news-release-details/allete-announces-completion-acquisition-cpp-investments-and
review,unclassified_review,Alliance Technical Group,United States,Active,owners[],0,Blackstone,Active,Blackstone Energy Transition Partners,2026,,Blackstone Energy Transition Partners V (BETP V),0.840,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Blackstone Energy Transition Partners V (BETP V)"" (0.840).",https://www.blackstone.com/news/press/blackstone-energy-transition-partners-announces-acquisition-of-alliance-technical-group/; https://www.alliancetg.com/; https://www.alliancetg.com/about-us
review,unclassified_review,AlphaGen,United States,Active,owners[],0,CPP Investments,Active,Sustainable Energies,2025,,Sustainable Asset Fund III,0.538,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Sustainable Asset Fund III"" (0.538).",https://www.prnewswire.com/news-releases/arclight-announces-us1-0-billion-investment-by-cpp-investments-in-alphagen-302573170.html; https://www.arclight.com/; https://www.cppinvestments.com/newsroom/arclight-announces-us1-0-billion-investment-by-cpp-investments-in-alphagen/; https://www.cppinvestments.com/newsroom/cpp-investments-net-assets-total-777-5-billion-at-second-quarter-fiscal-2026/
review,unclassified_review,Alturus,United States,Active,owners[],0,Generate Capital,Active,Corporate Equity,2020,,Generate Capital (Permanent Capital),0.373,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Generate Capital (Permanent Capital)"" (0.373).",https://www.businesswire.com/news/home/20201008005906/en/CORRECTING-and-REPLACING-Alturus-LLC-and-Generate-Form-Sustainable-Infrastructure-Financing-Partnership-for-Fortune-1000-Customers; https://www.businesswire.com/news/home/20240419609174/en/Generate-Capital-Announces-Expansion-of-its-Innovative-Infrastructure-as-a-Service-Customer-Solutions-Platform; https://alturus.com/who-we-are/
review,unclassified_review,Altus Power,United States,Active,owners[],0,TPG,Active,TPG Rise Climate Transition Infrastructure,2025,,TPG Rise Climate II,0.795,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""TPG Rise Climate II"" (0.795).",https://www.tpg.com/news-and-insights/altus-power-announces-agreement-to-be-acquired-by-tpg; https://www.businesswire.com/news/home/20250416079847/en/Altus-Power-Closes-Transaction-with-TPG; https://www.sec.gov/Archives/edgar/data/1828723/000182872323000051/amps-20221231.htm; https://www.businesswire.com/news/home/20260108020262/en/Altus-Power-Acquires-12-MW-of-Commercial-Scale-Solar-Assets-Across-Four-States
review,unclassified_review,Anthony Henday Drive Southeast,Canada,Active,owners[],0,Axium Infrastructure,Active,Fiera Axium Infrastructure Canada L.P,2010,,Fengate Infrastructure Fund IV,0.595,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Fengate Infrastructure Fund IV"" (0.595).",https://www.axiuminfra.com/news/page/9/?lang=en; https://www.axiuminfra.com/wp-content/uploads/2016/12/EN_FieraAxiumInfrastructureCanadaLP_ProjectZapple_Nov302010.pdf; https://www.axiuminfra.com/portfolio-assets/?lang=en; https://majorprojects.alberta.ca/details/Anthony-Henday-Drive-Southeast-Leg/8330
review,unclassified_review,Apex Clean Energy,United States,Active,owners[],0,Ares Management,Active,Ares Infrastructure Opportunities,2021,,Apollo Infrastructure Opportunities Fund II,0.698,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Apollo Infrastructure Opportunities Fund II"" (0.698).",https://www.apexcleanenergy.com/news/ares-management-and-apex-clean-energy-close-majority-stake-acquisition/; https://www.apexcleanenergy.com/news/apex-clean-energy-accelerates-transition-to-ipp-through-refinancing/; https://www.apexcleanenergy.com/
review,unclassified_review,Arbor Renewable Gas,United States,Active,owners[],0,EnCap Investments,Active,EnCap Energy Transition,2021,,ISQ Energy Transition Infrastructure Fund,0.667,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""ISQ Energy Transition Infrastructure Fund"" (0.667).",https://www.encapinvestments.com/news/arbor-renewable-gas-llc-secures-capital-commitment-encap-investments-lp; https://www.arborgas.com/; https://www.encapinvestments.com/about/energy-transition/portfolio/current/arbor-renewable-gas; https://www.encapinvestments.com/about/energy-transition/portfolio
review,unclassified_review,Arco Norte,Mexico,Active,owners[],1,CPP Investments,Active,Real Assets (Infrastructure),2016,,Temasek Infrastructure,0.731,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Temasek Infrastructure"" (0.731).",https://www.cppinvestments.com/newsroom/cppib-invests-mexican-infrastructure/; https://www.otpp.com/en-ca/about-us/news-and-insights/2018/ideal-cppib-and-ontario-teachers-expand-mexican-infrastructure-partnership-with-pacifico-sur-toll-road/; https://www.arconorte.com.mx/; https://www.cppinvestments.com/newsroom/project-summit/
review,unclassified_review,Aspen Midstream II,United States,Active,owners[],0,EnCap Investments,Active,EnCap Flatrock Midstream,2025,,EQT AI Infrastructure Strategy,0.400,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""EQT AI Infrastructure Strategy"" (0.400).",https://www.encapinvestments.com/news/aspen-midstream-secures-equity-commitment-encap-flatrock-midstream-formation-aspen-ii; https://www.encapinvestments.com/about/midstream/portfolio/current/aspen-midstream; https://www.aspenmidstream.com/news
review,unclassified_review,Atlas Crane Service,United States,Active,owners[],0,Ares Management,Active,Ares Infrastructure Opportunities,2022,,Apollo Infrastructure Opportunities Fund II,0.698,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Apollo Infrastructure Opportunities Fund II"" (0.698).",https://www.businesswire.com/news/home/20220822005740/en/Atlas-Crane-Service-Acquired-by-Ares-Management; https://tmcapital.com/transactions/atlas-crane-service-has-been-acquired-by-ares-management/; https://atlascrane.com/
review,unclassified_review,Aypa Power,United States / Canada,Active,owners[],0,Blackstone,Active,Blackstone Energy Transition Partners,2020,,Blackstone Energy Transition Partners V (BETP V),0.840,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Blackstone Energy Transition Partners V (BETP V)"" (0.840).",https://www.blackstone.com/news/press/blackstone-acquires-battery-energy-storage-pioneer-nrstor-c-i/; https://www.aypa.com/; https://www.aypa.com/who-we-are/; https://www.aypa.com/what-we-do/
review,unclassified_review,Beanfield Metroconnect,Canada,Active,owners[],0,DigitalBridge,Active,DigitalBridge Equity,2019,,DigitalBridge Fund III,0.739,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""DigitalBridge Fund III"" (0.739).",https://blog.beanfield.com/digital-colony-acquires-beanfield-technologies-inc/; https://www.digitalbridge.com/portfolio/beanfield-metroconnect; https://www.beanfield.com/business/; https://www.digitalbridge.com/news/2023-07-18-omers-infrastructure-announces-strategic-investment-in-beanfield-metroconnect
review,unclassified_review,Beehive Battery Energy Storage System,United States,Active,owners[],0,Copenhagen Infrastructure Partners,Active,CI V,2025,,Copenhagen Infrastructure V (CI V),0.727,Manual source review required before changing seed data.,"No rule classified this safely. Nearest fund candidate is ""Copenhagen Infrastructure V (CI V)"" (0.727).",https://www.edf-re.com/press-release/copenhagen-infrastructure-partners-acquires-beehive-battery-energy-storage-system-in-arizona-from-edf-power-solutions-north-america/; https://www.edf-re.com/projects/; https://www.edf-re.com/project/beehive-storage/; https://www.edf-re.com/press-release/edf-renewables-north-america-and-arizona-public-service-energy-storage-power-purchase-agreement/
